Study_code;Sample_ID;SpC;Cl;SO4;NO3;NO2;F;TN;Sample_n;Sample_ID;NPOC;Sample_ID
WHONDRS_S19S;S19S_0030_ANI-2;NA;0.68;0.43;1.81;Below_Range_Less_Than_0.04;0.03;0.53;S19S30;S19S_0030_ICR-2;0.63;S19S_0030_ANI-2
WHONDRS_S19S;S19S_0030_ANI-3;NA;0.79;0.35;6.61;Below_Range_Less_Than_0.04;0.03;1.46;S19S30;S19S_0030_ICR-3;0.53;S19S_0030_ANI-3
WHONDRS_S19S;S19S_0031_ANI-1;28.1;0.55;0.26;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;0.37;S19S31;S19S_0031_ICR-1;0.5;S19S_0031_ANI-1
WHONDRS_S19S;S19S_0031_ANI-2;NA;0.53;0.25;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;0.35;S19S31;S19S_0031_ICR-2;NA;S19S_0031_ANI-2
WHONDRS_S19S;S19S_0031_ANI-3;NA;1.26;2.6;Below_Range_Less_Than_0.12;0.05;0.03;1.88;S19S31;S19S_0031_ICR-3;0.91;S19S_0031_ANI-3
WHONDRS_S19S;S19S_0032_ANI-1;39.4;0.47;2.18;0.18;Below_Range_Less_Than_0.04;0.03;1.5;S19S32;S19S_0032_ICR-1;1.75;S19S_0032_ANI-1
WHONDRS_S19S;S19S_0032_ANI-2;NA;1.99;1.52;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.09;0.78;S19S32;S19S_0032_ICR-2;1.93;S19S_0032_ANI-2
WHONDRS_S19S;S19S_0032_ANI-3;NA;0.22;0.16;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;0.21;S19S32;S19S_0032_ICR-3;2.4;S19S_0032_ANI-3
WHONDRS_S19S;S19S_0033_ANI-1;173.8;22.62;9.7;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.41;0.36;S19S33;S19S_0033_ICR-1;1.13;S19S_0033_ANI-1
WHONDRS_S19S;S19S_0033_ANI-2;NA;22.6;9.56;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.41;0.36;S19S33;S19S_0033_ICR-2;1.18;S19S_0033_ANI-2
WHONDRS_S19S;S19S_0033_ANI-3;NA;22.51;9.12;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.38;0.18;S19S33;S19S_0033_ICR-3;1.21;S19S_0033_ANI-3
WHONDRS_S19S;S19S_0034_ANI-1;55.9;0.5;3.5;1.17;Below_Range_Less_Than_0.04;0.05;0.41;S19S34;S19S_0034_ICR-1;1.34;S19S_0034_ANI-1
WHONDRS_S19S;S19S_0034_ANI-2;NA;0.45;3.62;1.12;Below_Range_Less_Than_0.04;0.05;0.68;S19S34;S19S_0034_ICR-2;1.42;S19S_0034_ANI-2
WHONDRS_S19S;S19S_0034_ANI-3;NA;0.24;1.48;1.18;Below_Range_Less_Than_0.04;0.04;0.45;S19S34;S19S_0034_ICR-3;0.92;S19S_0034_ANI-3
WHONDRS_S19S;S19S_0035_ANI-1;77;1.93;3.65;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.27;0.63;S19S35;S19S_0035_ICR-1;9.62;S19S_0035_ANI-1
WHONDRS_S19S;S19S_0035_ANI-2;NA;1.88;3.53;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.26;0.35;S19S35;S19S_0035_ICR-2;9.1;S19S_0035_ANI-2
WHONDRS_S19S;S19S_0035_ANI-3;NA;NA;NA;NA;NA;NA;NA;S19S35;S19S_0035_ICR-3;10.58;S19S_0035_ANI-3
WHONDRS_S19S;S19S_0036_ANI-1;156.7;2.23;12.11;0.89;Below_Range_Less_Than_0.04;0.11;0.38;S19S36;S19S_0036_ICR-1;1.34;S19S_0036_ANI-1
WHONDRS_S19S;S19S_0036_ANI-2;NA;1.95;11.52;1.05;Below_Range_Less_Than_0.04;0.09;0.62;S19S36;S19S_0036_ICR-2;0.94;S19S_0036_ANI-2
WHONDRS_S19S;S19S_0036_ANI-3;NA;2.09;11.77;0.99;Below_Range_Less_Than_0.04;0.1;0.56;S19S36;S19S_0036_ICR-3;1.1;S19S_0036_ANI-3
WHONDRS_S19S;S19S_0037_ANI-1;239;13.43;18;18.17;Below_Range_Less_Than_0.04;0.05;4.26;S19S37;S19S_0037_ICR-1;0.87;S19S_0037_ANI-1
WHONDRS_S19S;S19S_0037_ANI-2;NA;14.04;18.7;18.11;Below_Range_Less_Than_0.04;0.05;4.58;S19S37;S19S_0037_ICR-2;0.98;S19S_0037_ANI-2
WHONDRS_S19S;S19S_0037_ANI-3;NA;13.38;18.14;18.18;Below_Range_Less_Than_0.04;0.05;3.91;S19S37;NA;NA;S19S_0037_ANI-3
WHONDRS_S19S;S19S_0038_ANI-1;237;12.44;17.88;18.18;Below_Range_Less_Than_0.04;0.04;4.23;S19S38;S19S_0038_ICR-1;0.96;S19S_0038_ANI-1
WHONDRS_S19S;S19S_0038_ANI-2;NA;12.52;17.95;18.55;Below_Range_Less_Than_0.04;0.05;4.18;S19S38;S19S_0038_ICR-2;0.8;S19S_0038_ANI-2
WHONDRS_S19S;S19S_0038_ANI-3;NA;12.44;17.85;18.5;Below_Range_Less_Than_0.04;0.06;4.18;S19S38;S19S_0038_ICR-3;0.69;S19S_0038_ANI-3
WHONDRS_S19S;S19S_0039_ANI-1;220;9.67;13.28;7.82;0.11;0.16;2.22;S19S39;S19S_0039_ICR-1;3.18;S19S_0039_ANI-1
WHONDRS_S19S;S19S_0039_ANI-2;NA;9.73;13.48;7.87;0.1;0.18;2.09;S19S39;S19S_0039_ICR-2;2.58;S19S_0039_ANI-2
WHONDRS_S19S;S19S_0039_ANI-3;NA;9.59;13.46;7.95;0.1;0.19;2.19;S19S39;S19S_0039_ICR-3;3.33;S19S_0039_ANI-3
WHONDRS_S19S;S19S_0040_ANI-1;486;1.72;31.91;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.37;0.2;S19S40;S19S_0040_ICR-1;1.34;S19S_0040_ANI-1
WHONDRS_S19S;S19S_0040_ANI-2;NA;1.58;31.14;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.34;0.45;S19S40;S19S_0040_ICR-2;0.67;S19S_0040_ANI-2
WHONDRS_S19S;S19S_0040_ANI-3;NA;1.74;31.19;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.32;0.21;S19S40;S19S_0040_ICR-3;0.81;S19S_0040_ANI-3
WHONDRS_S19S;S19S_0041_ANI-1;287.5;2.72;4.66;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.11;0.63;S19S41;S19S_0041_ICR-1;3.2;S19S_0041_ANI-1
WHONDRS_S19S;S19S_0041_ANI-2;NA;2.83;4.85;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.1;0.66;S19S41;S19S_0041_ICR-2;2.85;S19S_0041_ANI-2
WHONDRS_S19S;S19S_0041_ANI-3;NA;2.8;4.76;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.1;0.37;S19S41;S19S_0041_ICR-3;5.42;S19S_0041_ANI-3
WHONDRS_S19S;S19S_0042_ANI-1;NA;NA;NA;0.54;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;1.21;S19S42;S19S_0042_ICR-1;15.06;S19S_0042_ANI-1
