num,Sample_ID,00681_NPOC_mg_per_L_as_C
488,S19S_0037_SED_INC_ICR-U,13.09
489,S19S_0034_SED_INC_ICR-U,11.38
490,S19S_0029_SED_INC_ICR-U,9.83
491,S19S_0039_Sed_INC_ICR-M,10.54
492,S19S_0081_Sed_INC_ICR-M,8.75
493,S19S_0073_Sed_INC_ICR-U,25.78
494,S19S_0073_Sed_INC_ICR-M,24.08
495,S19S_0007_Sed_INC_ICR-U,21.02
496,S19S_0078_Sed_INC_ICR-D,10.03
497,S19S_0079_Sed_INC_ICR-M,8.9
498,S19S_0042_Sed_INC_ICR-D,30.04
499,S19S_0023_Sed_INC_ICR-U,16.99
500,S19S_0006_Sed_INC_ICR-M,4.54
501,S19S_0075_Sed_INC_ICR-M,8.98
502,S19S_0042_Sed_INC_ICR-U,37.17
503,S19S_0041_Sed_INC_ICR-D,9.6
504,S19S_0006_Sed_INC_ICR-U,5.62
505,S19S_0006_Sed_INC_ICR-D,4.27
506,S19S_0025_Sed_INC_ICR-D,14.42
507,S19S_0010_Sed_INC_ICR-D,7.1
508,S19S_0076_Sed_INC_ICR-M,37.43
509,S19S_0010_Sed_INC_ICR-U,17.68
510,S19S_0010_Sed_INC_ICR-M,7.58
511,S19S_0054_Sed_INC_ICR-M,8.24
512,S19S_0054_Sed_INC_ICR-U,8.07
513,S19S_0075_Sed_INC_ICR-U,8.28
514,S19S_0055_Sed_INC_ICR-U,18.88
515,S19S_0042_Sed_INC_ICR-M,27.92
516,S19S_0040_Sed_INC_ICR-M,10.04
517,S19S_0079_Sed_INC_ICR-U,34.07
